depot,service_number,product,avg_seats_per_bus,route,dep_time,arr_time,planned_kms,planned_trips,planned_per_trip,breakeven_cpk,can_be_cancelled
WARANGAL-I,SSR3,MB,37,HNK-SRSLM,09:00,19:15,730,2,365,23.08,0
WARANGAL-I,ID10,MB,37,HYD,12:40,18:30,266,2,133,23.08,0
WARANGAL-I,ID11,MB,37,HYD,13:00,18:50,266,2,133,23.08,0
WARANGAL-I,ID20,MB,37,HYD,10:20,07:15,564,4,141,23.08,0
WARANGAL-I,ID21,MB,37,HYD,10:40,07:45,564,4,141,23.08,0
WARANGAL-I,ID22,MB,37,HYD,11:00,08:05,564,4,141,23.08,0
WARANGAL-I,ID23,MB,37,HYD,11:20,08:25,564,4,141,23.08,0
WARANGAL-I,ID24,MB,37,HYD,11:40,08:45,564,4,141,23.08,0
WARANGAL-I,ID25,MB,37,HYD,12:00,09:15,564,4,141,23.08,0
WARANGAL-I,ID26,MB,37,HYD,12:20,09:45,564,4,141,23.08,0
WARANGAL-I,IDR4,MB,37,HYD,04:00,10:00,266,2,133,23.08,0
WARANGAL-I,IDR5,MB,37,HYD,04:20,10:30,266,2,133,23.08,0
WARANGAL-I,IND1,MB,37,HYD,04:40,11:00,266,2,133,23.08,0
WARANGAL-I,IND5,MB,37,HYD,13:20,19:10,266,2,133,23.08,0
WARANGAL-I,VHD1,MB,37,HYD,05:40,20:10,532,4,133,23.08,0
WARANGAL-I,VHD2,MB,37,HYD,06:00,20:30,532,4,133,23.08,0
WARANGAL-I,VHD3,MB,37,HYD,06:40,21:30,532,4,133,23.08,0
WARANGAL-I,VHD4,MB,37,HYD,07:00,22:00,532,4,133,23.08,0
WARANGAL-I,VHD5,MB,37,HYD,07:20,22:15,532,4,133,23.08,0
WARANGAL-I,VHD6,MB,37,HYD,07:40,22:50,532,4,133,23.08,0
WARANGAL-I,VHD7,MB,37,HYD,08:20,23:50,532,4,133,23.08,0
WARANGAL-I,VHD8,MB,37,HYD,09:20,21:15,532,4,133,23.08,0
WARANGAL-I,VHD9,MB,37,HYD,06:20,21:00,532,4,133,23.08,0
WARANGAL-I,VH10,MB,37,HYD,08:00,23:00,532,4,133,23.08,0
WARANGAL-I,KPR1,MB,37,KPHB-UPL,05:30,20:30,604,4,151,23.08,0
WARANGAL-I,ABR1,MB,37,RGIA-BPL,16:00,11:45,494,3,164.6666667,23.08,0
WARANGAL-I,CTR1,MB,37,TIRUPATI,13:30,05:45,1422,2,711,23.08,0
WARANGAL-I,CTR2,MB,37,TIRUPATI,08:40,06:55,1422,2,711,23.08,0
WARANGAL-I,KPR2,MB,37,UPL-KPHB,10:00,08:45,604,4,151,23.08,0
WARANGAL-I,VSP1,HL,48,HNK-VSPT,15:00,08:25,1326,2,663,20.9,0
WARANGAL-I,VSP2,HL,48,HNK-VSPT,17:00,09:40,1326,2,663,20.9,0
WARANGAL-I,BLD1,HT,36,BNGL,13:30,05:00,1492,2,746,19.31,0
WARANGAL-I,KKP5,HT,36,BYRMBHEL,15:30,12:30,700,3,233.3333333,19.31,0
WARANGAL-I,M112,HT,36,BYRMBHEL,13:00,09:50,700,3,233.3333333,19.31,0
WARANGAL-I,HT05,HT,36,HYD,07:50,15:30,298,2,149,19.31,0
WARANGAL-I,HT46,HT,36,HYD,17:00,22:45,298,2,149,19.31,0
WARANGAL-I,HTL3,HT,36,KPHB,23:00,16:30,604,4,151,19.31,0
WARANGAL-I,HTL4,HT,36,KPHB,13:20,09:00,604,4,151,19.31,0
WARANGAL-I,BYH1,HT,36,MNGR-KPHB,14:30,09:15,716,3,238.6666667,19.31,0
WARANGAL-I,KKP4,HT,36,MNGR-KPHB,15:00,10:50,716,3,238.6666667,19.31,0
WARANGAL-I,BYH2,HT,36,MPT-KPHB,17:30,10:30,606,3,202,19.31,0
WARANGAL-I,BYH3,HT,36,MPT-KPHB,16:00,09:30,606,3,202,19.31,0
WARANGAL-I,KKP1,HT,36,MPT-KPHB,16:30,09:30,606,3,202,19.31,0
WARANGAL-I,KKP2,HT,36,MPT-KPHB,16:40,10:00,606,3,202,19.31,0
WARANGAL-I,SLM2,HT,36,SRSLM,10:30,16:40,730,2,365,19.31,0
WARANGAL-I,SLM3,HT,36,SRSLM,07:00,17:00,730,2,365,19.31,0
WARANGAL-I,SLM4,HT,36,SRSLM,09:35,17:30,730,2,365,19.31,0
WARANGAL-I,TPH1,HT,36,TIRUPATI,06:00,22:00,1422,2,711,19.31,0
WARANGAL-I,VPK1,HT,36,VKPM-KPHB,15:15,10:05,630,3,210,19.31,0
WARANGAL-I,VPK3,HT,36,VKPM-KPHB,17:00,11:00,630,3,210,19.31,0
WARANGAL-I,NZD1,SL,41,NIZAMBAD,03:35,16:05,474,2,237,19.12,0
WARANGAL-I,NZD2,SL,41,NIZAMBAD,09:40,21:50,474,2,237,19.12,0
WARANGAL-I,NZD3,SL,41,NIZAMBAD,10:25,22:35,474,2,237,19.12,1
WARANGAL-I,NZD4,SL,41,NIZAMBAD,12:10,00:20,474,2,237,19.12,1
WARANGAL-I,BDE1,EX,52,BDCM,04:30,15:30,424,2,212,18.57,0
WARANGAL-I,BDE2,EX,52,BDCM,05:40,16:40,424,2,212,18.57,0
WARANGAL-I,MPT4,EX,52,HNK-VPRM,11:30,09:45,512,4,128,18.57,1
WARANGAL-I,HEN2,EX,52,NARSAIGUDEM,07:00,20:35,506,4,126.5,18.57,0
WARANGAL-I,SDH1,EX,52,SDPT-HYD,06:00,19:15,482,4,120.5,18.57,1
WARANGAL-I,MPT5,EX,52,HNK-VPRM,08:00,21:20,512,4,128,18.57,0
WARANGAL-I,SDE6,EX,52,SDPT-KRMR,07:20,22:35,494,6,82.33333333,18.57,1
WARANGAL-I,SDE1,EX,52,SIDDIPET,05:15,21:30,522,6,87,18.57,0
WARANGAL-I,SDE2,EX,52,SIDDIPET,05:45,21:50,522,6,87,18.57,0
WARANGAL-I,SDE3,EX,52,SIDDIPET,06:15,22:00,522,6,87,18.57,0
WARANGAL-I,SDE4,EX,52,SIDDIPET,06:40,22:20,522,6,87,18.57,1
WARANGAL-I,SDE5,EX,52,SIDDIPET,07:00,22:35,522,6,87,18.57,0
WARANGAL-I,HTP1,EX,52,TIMAMPET,12:30,10:10,532,4,133,18.57,0
WARANGAL-I,MDH1,EX,52,UPL-ENR,18:30,15:45,486,3,162,18.57,0
WARANGAL-I,MDH2,EX,52,UPL-ENR,11:45,09:10,486,4,121.5,18.57,1
WARANGAL-I,HE02,EX,52,UPL-RGPR,06:10,20:20,512,3,170.6666667,18.57,0
WARANGAL-I,KSO1,PVG,53,DVPPULA,07:30,20:00,324,4,81,18.4,0
WARANGAL-I,M462,PVG,53,HNK-SDPL,14:10,10:50,430,8,53.75,18.4,0
WARANGAL-I,MLO5,PVG,53,HNK-VPUR,07:35,20:50,380,6,63.33333333,18.4,0
WARANGAL-I,VPR1,PVG,53,HNK-VPUR,15:30,10:50,390,6,65,18.4,0
WARANGAL-I,SO19,PVG,53,KESHVPUR,07:05,21:30,420,6,70,18.4,0
WARANGAL-I,KNO1,PVG,53,MNCPL,15:00,11:00,408,6,68,18.4,0
WARANGAL-I,TGO3,PVG,53,NARMETTA,16:00,12:45,364,6,60.66666667,18.4,0
WARANGAL-I,PSR1,PVG,53,PASARA,07:00,20:50,400,6,66.66666667,18.4,1
WARANGAL-I,PLT1,PVG,53,PLKY,15:00,09:45,390,8,48.75,18.4,0
